codepoints,emoji-name,keywords
👶🏻,baby | young | light skin tone,baby: light skin tone
👶🏼,baby | young | medium-light skin tone,baby: medium-light skin tone
👶🏽,baby | young | medium skin tone,baby: medium skin tone
👶🏾,baby | young | medium-dark skin tone,baby: medium-dark skin tone
👶🏿,baby | young | dark skin tone,baby: dark skin tone
🧒🏻,child | gender-neutral | young | light skin tone,child: light skin tone
🧒🏼,child | gender-neutral | young | medium-light skin tone,child: medium-light skin tone
🧒🏽,child | gender-neutral | young | medium skin tone,child: medium skin tone
🧒🏾,child | gender-neutral | young | medium-dark skin tone,child: medium-dark skin tone
🧒🏿,child | gender-neutral | young | dark skin tone,child: dark skin tone
👦🏻,boy | young | light skin tone,boy: light skin tone
👦🏼,boy | young | medium-light skin tone,boy: medium-light skin tone
👦🏽,boy | young | medium skin tone,boy: medium skin tone
👦🏾,boy | young | medium-dark skin tone,boy: medium-dark skin tone
👦🏿,boy | young | dark skin tone,boy: dark skin tone
👧🏻,Virgo | girl | young | zodiac | light skin tone,girl: light skin tone
👧🏼,Virgo | girl | young | zodiac | medium-light skin tone,girl: medium-light skin tone
👧🏽,Virgo | girl | young | zodiac | medium skin tone,girl: medium skin tone
👧🏾,Virgo | girl | young | zodiac | medium-dark skin tone,girl: medium-dark skin tone
👧🏿,Virgo | girl | young | zodiac | dark skin tone,girl: dark skin tone
🧑🏻,adult | gender-neutral | light skin tone,adult: light skin tone
🧑🏼,adult | gender-neutral | medium-light skin tone,adult: medium-light skin tone
🧑🏽,adult | gender-neutral | medium skin tone,adult: medium skin tone
🧑🏾,adult | gender-neutral | medium-dark skin tone,adult: medium-dark skin tone
🧑🏿,adult | gender-neutral | dark skin tone,adult: dark skin tone
👨🏻,man | light skin tone,man: light skin tone
👨🏼,man | medium-light skin tone,man: medium-light skin tone
👨🏽,man | medium skin tone,man: medium skin tone
👨🏾,man | medium-dark skin tone,man: medium-dark skin tone
👨🏿,man | dark skin tone,man: dark skin tone
👩🏻,woman | light skin tone,woman: light skin tone
👩🏼,woman | medium-light skin tone,woman: medium-light skin tone
👩🏽,woman | medium skin tone,woman: medium skin tone
👩🏾,woman | medium-dark skin tone,woman: medium-dark skin tone
👩🏿,woman | dark skin tone,woman: dark skin tone
🧓🏻,gender-neutral | old | older adult | light skin tone,older adult: light skin tone
🧓🏼,gender-neutral | old | older adult | medium-light skin tone,older adult: medium-light skin tone
🧓🏽,gender-neutral | old | older adult | medium skin tone,older adult: medium skin tone
🧓🏾,gender-neutral | old | older adult | medium-dark skin tone,older adult: medium-dark skin tone
🧓🏿,gender-neutral | old | older adult | dark skin tone,older adult: dark skin tone
👴🏻,man | old | light skin tone,old man: light skin tone
👴🏼,man | old | medium-light skin tone,old man: medium-light skin tone
👴🏽,man | old | medium skin tone,old man: medium skin tone
👴🏾,man | old | medium-dark skin tone,old man: medium-dark skin tone
👴🏿,man | old | dark skin tone,old man: dark skin tone
👵🏻,old | woman | light skin tone,old woman: light skin tone
👵🏼,old | woman | medium-light skin tone,old woman: medium-light skin tone
👵🏽,old | woman | medium skin tone,old woman: medium skin tone
👵🏾,old | woman | medium-dark skin tone,old woman: medium-dark skin tone
👵🏿,old | woman | dark skin tone,old woman: dark skin tone
👨🏻‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | light skin tone,man health worker: light skin tone
👨🏼‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | medium-light skin tone,man health worker: medium-light skin tone
👨🏽‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | medium skin tone,man health worker: medium skin tone
👨🏾‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | medium-dark skin tone,man health worker: medium-dark skin tone
👨🏿‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | dark skin tone,man health worker: dark skin tone
👩🏻‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | light skin tone,woman health worker: light skin tone
👩🏼‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | medium-light skin tone,woman health worker: medium-light skin tone
👩🏽‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | medium skin tone,woman health worker: medium skin tone
👩🏾‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | medium-dark skin tone,woman health worker: medium-dark skin tone
👩🏿‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | dark skin tone,woman health worker: dark skin tone
👨🏻‍🎓,graduate | man | student | light skin tone,man student: light skin tone
👨🏼‍🎓,graduate | man | student | medium-light skin tone,man student: medium-light skin tone
👨🏽‍🎓,graduate | man | student | medium skin tone,man student: medium skin tone
👨🏾‍🎓,graduate | man | student | medium-dark skin tone,man student: medium-dark skin tone
👨🏿‍🎓,graduate | man | student | dark skin tone,man student: dark skin tone
👩🏻‍🎓,graduate | student | woman | light skin tone,woman student: light skin tone
👩🏼‍🎓,graduate | student | woman | medium-light skin tone,woman student: medium-light skin tone
👩🏽‍🎓,graduate | student | woman | medium skin tone,woman student: medium skin tone
👩🏾‍🎓,graduate | student | woman | medium-dark skin tone,woman student: medium-dark skin tone
