codepoints,variation,comments
0023 FE0E,text style,
0023 FE0F,emoji style,
002A FE0E,text style,
002A FE0F,emoji style,
0030 FE0E,text style,
0030 FE0F,emoji style,
0031 FE0E,text style,
0031 FE0F,emoji style,
0032 FE0E,text style,
0032 FE0F,emoji style,
0033 FE0E,text style,
0033 FE0F,emoji style,
0034 FE0E,text style,
0034 FE0F,emoji style,
0035 FE0E,text style,
0035 FE0F,emoji style,
0036 FE0E,text style,
0036 FE0F,emoji style,
0037 FE0E,text style,
0037 FE0F,emoji style,
0038 FE0E,text style,
0038 FE0F,emoji style,
0039 FE0E,text style,
0039 FE0F,emoji style,
00A9 FE0E,text style,
00A9 FE0F,emoji style,
00AE FE0E,text style,
00AE FE0F,emoji style,
203C FE0E,text style,
203C FE0F,emoji style,
2049 FE0E,text style,
2049 FE0F,emoji style,
2122 FE0E,text style,
2122 FE0F,emoji style,
2139 FE0E,text style,
2139 FE0F,emoji style,
2194 FE0E,text style,
2194 FE0F,emoji style,
2195 FE0E,text style,
2195 FE0F,emoji style,
2196 FE0E,text style,
2196 FE0F,emoji style,
2197 FE0E,text style,
2197 FE0F,emoji style,
2198 FE0E,text style,
2198 FE0F,emoji style,
2199 FE0E,text style,
2199 FE0F,emoji style,
21A9 FE0E,text style,
21A9 FE0F,emoji style,
21AA FE0E,text style,
21AA FE0F,emoji style,
231A FE0E,text style,
231A FE0F,emoji style,
231B FE0E,text style,
231B FE0F,emoji style,
2328 FE0E,text style,
2328 FE0F,emoji style,
23CF FE0E,text style,
23CF FE0F,emoji style,
23E9 FE0E,text style,
23E9 FE0F,emoji style,
23EA FE0E,text style,
23EA FE0F,emoji style,
23ED FE0E,text style,
23ED FE0F,emoji style,
23EE FE0E,text style,
23EE FE0F,emoji style,
23EF FE0E,text style,
23EF FE0F,emoji style,
23F1 FE0E,text style,
23F1 FE0F,emoji style,
23F2 FE0E,text style,
23F2 FE0F,emoji style,
23F3 FE0E,text style,
23F3 FE0F,emoji style,
23F8 FE0E,text style,
23F8 FE0F,emoji style,
23F9 FE0E,text style,
23F9 FE0F,emoji style,
23FA FE0E,text style,
23FA FE0F,emoji style,
24C2 FE0E,text style,
24C2 FE0F,emoji style,
25AA FE0E,text style,
25AA FE0F,emoji style,
25AB FE0E,text style,
25AB FE0F,emoji style,
25B6 FE0E,text style,
25B6 FE0F,emoji style,
25C0 FE0E,text style,
25C0 FE0F,emoji style,
25FB FE0E,text style,
25FB FE0F,emoji style,
25FC FE0E,text style,
25FC FE0F,emoji style,
25FD FE0E,text style,
25FD FE0F,emoji style,
25FE FE0E,text style,
25FE FE0F,emoji style,
2600 FE0E,text style,
2600 FE0F,emoji style,
2601 FE0E,text style,
2601 FE0F,emoji style,
2602 FE0E,text style,
2602 FE0F,emoji style,
2603 FE0E,text style,
2603 FE0F,emoji style,
2604 FE0E,text style,
2604 FE0F,emoji style,
260E FE0E,text style,
260E FE0F,emoji style,
2611 FE0E,text style,
2611 FE0F,emoji style,
2614 FE0E,text style,
2614 FE0F,emoji style,
2615 FE0E,text style,
2615 FE0F,emoji style,
2618 FE0E,text style,
2618 FE0F,emoji style,
261D FE0E,text style,
261D FE0F,emoji style,
2620 FE0E,text style,
2620 FE0F,emoji style,
2622 FE0E,text style,
2622 FE0F,emoji style,
2623 FE0E,text style,
2623 FE0F,emoji style,
2626 FE0E,text style,
2626 FE0F,emoji style,
262A FE0E,text style,
262A FE0F,emoji style,
262E FE0E,text style,
262E FE0F,emoji style,
262F FE0E,text style,
262F FE0F,emoji style,
2638 FE0E,text style,
2638 FE0F,emoji style,
2639 FE0E,text style,
2639 FE0F,emoji style,
263A FE0E,text style,
263A FE0F,emoji style,
2640 FE0E,text style,
2640 FE0F,emoji style,
2642 FE0E,text style,
2642 FE0F,emoji style,
2648 FE0E,text style,
2648 FE0F,emoji style,
2649 FE0E,text style,
2649 FE0F,emoji style,
264A FE0E,text style,
264A FE0F,emoji style,
264B FE0E,text style,
264B FE0F,emoji style,
264C FE0E,text style,
264C FE0F,emoji style,
264D FE0E,text style,
264D FE0F,emoji style,
264E FE0E,text style,
264E FE0F,emoji style,
264F FE0E,text style,
264F FE0F,emoji style,
2650 FE0E,text style,
2650 FE0F,emoji style,
2651 FE0E,text style,
2651 FE0F,emoji style,
2652 FE0E,text style,
2652 FE0F,emoji style,
2653 FE0E,text style,
2653 FE0F,emoji style,
265F FE0E,text style,
265F FE0F,emoji style,
2660 FE0E,text style,
2660 FE0F,emoji style,
2663 FE0E,text style,
2663 FE0F,emoji style,
2665 FE0E,text style,
2665 FE0F,emoji style,
2666 FE0E,text style,
2666 FE0F,emoji style,
2668 FE0E,text style,
2668 FE0F,emoji style,
267B FE0E,text style,
267B FE0F,emoji style,
267E FE0E,text style,
267E FE0F,emoji style,
267F FE0E,text style,
267F FE0F,emoji style,
2692 FE0E,text style,
2692 FE0F,emoji style,
2693 FE0E,text style,
2693 FE0F,emoji style,
2694 FE0E,text style,
2694 FE0F,emoji style,
2695 FE0E,text style,
2695 FE0F,emoji style,
2696 FE0E,text style,
2696 FE0F,emoji style,
2697 FE0E,text style,
2697 FE0F,emoji style,
2699 FE0E,text style,
2699 FE0F,emoji style,
269B FE0E,text style,
269B FE0F,emoji style,
269C FE0E,text style,
269C FE0F,emoji style,
26A0 FE0E,text style,
26A0 FE0F,emoji style,
26A1 FE0E,text style,
26A1 FE0F,emoji style,
26AA FE0E,text style,
26AA FE0F,emoji style,
26AB FE0E,text style,
26AB FE0F,emoji style,
26B0 FE0E,text style,
26B0 FE0F,emoji style,
26B1 FE0E,text style,
26B1 FE0F,emoji style,
26BD FE0E,text style,
26BD FE0F,emoji style,
26BE FE0E,text style,
26BE FE0F,emoji style,
26C4 FE0E,text style,
26C4 FE0F,emoji style,
26C5 FE0E,text style,
26C5 FE0F,emoji style,
26C8 FE0E,text style,
26C8 FE0F,emoji style,
26CF FE0E,text style,
26CF FE0F,emoji style,
26D1 FE0E,text style,
26D1 FE0F,emoji style,
26D3 FE0E,text style,
26D3 FE0F,emoji style,
26D4 FE0E,text style,
26D4 FE0F,emoji style,
26E9 FE0E,text style,
26E9 FE0F,emoji style,
26EA FE0E,text style,
26EA FE0F,emoji style,
26F0 FE0E,text style,
26F0 FE0F,emoji style,
26F1 FE0E,text style,
26F1 FE0F,emoji style,
26F2 FE0E,text style,
26F2 FE0F,emoji style,
26F3 FE0E,text style,
26F3 FE0F,emoji style,
26F4 FE0E,text style,
26F4 FE0F,emoji style,
26F5 FE0E,text style,
26F5 FE0F,emoji style,
26F7 FE0E,text style,
26F7 FE0F,emoji style,
26F8 FE0E,text style,
26F8 FE0F,emoji style,
26F9 FE0E,text style,
26F9 FE0F,emoji style,
26FA FE0E,text style,
26FA FE0F,emoji style,
26FD FE0E,text style,
26FD FE0F,emoji style,
2702 FE0E,text style,
2702 FE0F,emoji style,
2708 FE0E,text style,
2708 FE0F,emoji style,
2709 FE0E,text style,
2709 FE0F,emoji style,
270C FE0E,text style,
270C FE0F,emoji style,
270D FE0E,text style,
270D FE0F,emoji style,
270F FE0E,text style,
270F FE0F,emoji style,
2712 FE0E,text style,
2712 FE0F,emoji style,
2714 FE0E,text style,
2714 FE0F,emoji style,
2716 FE0E,text style,
2716 FE0F,emoji style,
271D FE0E,text style,
271D FE0F,emoji style,
2721 FE0E,text style,
2721 FE0F,emoji style,
2733 FE0E,text style,
2733 FE0F,emoji style,
2734 FE0E,text style,
2734 FE0F,emoji style,
2744 FE0E,text style,
2744 FE0F,emoji style,
2747 FE0E,text style,
2747 FE0F,emoji style,
2753 FE0E,text style,
2753 FE0F,emoji style,
2757 FE0E,text style,
2757 FE0F,emoji style,
2763 FE0E,text style,
2763 FE0F,emoji style,
2764 FE0E,text style,
2764 FE0F,emoji style,
27A1 FE0E,text style,
27A1 FE0F,emoji style,
2934 FE0E,text style,
2934 FE0F,emoji style,
2935 FE0E,text style,
2935 FE0F,emoji style,
2B05 FE0E,text style,
2B05 FE0F,emoji style,
2B06 FE0E,text style,
2B06 FE0F,emoji style,
2B07 FE0E,text style,
2B07 FE0F,emoji style,
2B1B FE0E,text style,
2B1B FE0F,emoji style,
2B1C FE0E,text style,
2B1C FE0F,emoji style,
2B50 FE0E,text style,
2B50 FE0F,emoji style,
2B55 FE0E,text style,
2B55 FE0F,emoji style,
3030 FE0E,text style,
3030 FE0F,emoji style,
303D FE0E,text style,
303D FE0F,emoji style,
3297 FE0E,text style,
3297 FE0F,emoji style,
3299 FE0E,text style,
3299 FE0F,emoji style,
1F004 FE0E,text style,
1F004 FE0F,emoji style,
1F170 FE0E,text style,
1F170 FE0F,emoji style,
1F171 FE0E,text style,
1F171 FE0F,emoji style,
1F17E FE0E,text style,
1F17E FE0F,emoji style,
1F17F FE0E,text style,
1F17F FE0F,emoji style,
1F202 FE0E,text style,
1F202 FE0F,emoji style,
1F21A FE0E,text style,
1F21A FE0F,emoji style,
1F22F FE0E,text style,
1F22F FE0F,emoji style,
1F237 FE0E,text style,
1F237 FE0F,emoji style,
1F30D FE0E,text style,
1F30D FE0F,emoji style,
1F30E FE0E,text style,
1F30E FE0F,emoji style,
1F30F FE0E,text style,
1F30F FE0F,emoji style,
1F315 FE0E,text style,
1F315 FE0F,emoji style,
1F31C FE0E,text style,
1F31C FE0F,emoji style,
1F321 FE0E,text style,
1F321 FE0F,emoji style,
1F324 FE0E,text style,
1F324 FE0F,emoji style,
1F325 FE0E,text style,
1F325 FE0F,emoji style,
1F326 FE0E,text style,
1F326 FE0F,emoji style,
1F327 FE0E,text style,
1F327 FE0F,emoji style,
1F328 FE0E,text style,
1F328 FE0F,emoji style,
1F329 FE0E,text style,
